Method,Pixel Accuracy,Mean IoU,Mean Dice,Precision,Recall,F1 Score
BLAST-LBP,0.8997,0.8195,0.8998,0.8986,0.9019,0.8998
BLAST-MLBP,0.8787,0.7854,0.8782,0.8776,0.8788,0.8782
BLAST-GLCM,0.4937,0.3531,0.5049,0.5056,0.5052,0.5049
BLAST-CNN,0.9349,0.8808,0.9361,0.9356,0.9369,0.9361
Vanilla U-Net,0.6312,0.4675,0.6258,0.6519,0.6203,0.6258
Attention U-Net,0.5692,0.4052,0.5759,0.6522,0.5628,0.5759
ResU-Net,0.669,0.5262,0.6819,0.7012,0.6757,0.6819
Dense U-Net,0.4232,0.261,0.3981,0.4547,0.4072,0.3981
U-Net++,0.6338,0.47,0.6299,0.6595,0.6233,0.6299
